policy_text,label
The Right to Information Act introduces digital portals for public monitoring of government spending in Odisha.,High Impact
This regulation updates routine government operational rules under the Public Transport Permit Regulation in Gujarat.,Low Impact
This policy revises standard office procedures and departmental management guidelines in Kerala.,Low Impact
The Municipal Parking Regulation Bill modifies internal administrative processes and documentation standards in Gujarat.,Low Impact
"Under the Election Commission Transparency Reform Bill, all government departments must release public data to citizens in Madhya Pradesh.",High Impact
This policy revises standard office procedures and departmental management guidelines in Madhya Pradesh.,Low Impact
This regulation updates routine government operational rules under the Government Office Attendance Rule Update in West Bengal.,Low Impact
The Open Government Data Policy mandates public disclosure of government records and improves transparency in Telangana.,High Impact
The Motor Vehicles Act amendment on vehicle registration introduces minor regulatory adjustments to administrative workflows in Maharashtra.,Low Impact
The Lokpal and Lokayuktas Act enhances transparency standards and civic oversight across administrative bodies in Karnataka.,High Impact
This regulation updates routine government operational rules under the Administrative Procedure Simplification Bill in Karnataka.,Low Impact
This policy revises standard office procedures and departmental management guidelines in West Bengal.,Low Impact
The State Vehicle Tax Adjustment Act introduces minor regulatory adjustments to administrative workflows in Haryana.,Low Impact
The Anti-Corruption Amendment Bill mandates public disclosure of government records and improves transparency in Gujarat.,High Impact
The State Vehicle Tax Adjustment Act introduces minor regulatory adjustments to administrative workflows in Uttar Pradesh.,Low Impact
The Open Government Data Policy introduces digital portals for public monitoring of government spending in Haryana.,High Impact
The Public Transport Permit Regulation modifies internal administrative processes and documentation standards in Rajasthan.,Low Impact
This legislation strengthens citizen access to government information and accountability mechanisms in Gujarat under the Public Procurement Transparency Bill.,High Impact
The Public Procurement Transparency Bill introduces digital portals for public monitoring of government spending in Rajasthan.,High Impact
"Under the Digital Personal Data Protection Act, all government departments must release public data to citizens in Assam.",High Impact
This regulation updates routine government operational rules under the Government Office Attendance Rule Update in West Bengal.,Low Impact
This legislation strengthens citizen access to government information and accountability mechanisms in Odisha under the Anti-Corruption Amendment Bill.,High Impact
This regulation updates routine government operational rules under the Public Office Infrastructure Maintenance Policy in Kerala.,Low Impact
The Motor Vehicles Act amendment on vehicle registration regulates administrative procedures and operational guidelines for departments in Rajasthan.,Low Impact
The Administrative Procedure Simplification Bill introduces minor regulatory adjustments to administrative workflows in Assam.,Low Impact
The Urban Traffic Management Amendment introduces minor regulatory adjustments to administrative workflows in Andhra Pradesh.,Low Impact
"Under the Public Records Access Reform Act, all government departments must release public data to citizens in Karnataka.",High Impact
The Digital Personal Data Protection Act mandates public disclosure of government records and improves transparency in Kerala.,High Impact
This policy revises standard office procedures and departmental management guidelines in Rajasthan.,Low Impact
The Government Accountability and Transparency Act enhances transparency standards and civic oversight across administrative bodies in Karnataka.,High Impact
