policy_text,policy_area,ministry,year,public_sentiment,impact_label
Small procedural adjustments were made in the management of public safety programs.,public safety,Ministry of Health and Family Welfare,2023,Negative,Low Impact
The central government introduces a large-scale initiative to modernize digital governance.,digital governance,Ministry of Housing and Urban Affairs,2017,Neutral,High Impact
Small procedural adjustments were made in the management of digital governance programs.,digital governance,Ministry of Road Transport and Highways,2010,Negative,Low Impact
The policy updates documentation rules related to agriculture offices.,agriculture,Ministry of Housing and Urban Affairs,2017,Neutral,Low Impact
Local authorities revised guidelines for handling public safety records.,public safety,Ministry of Electronics and IT,2018,Negative,Low Impact
A comprehensive reform significantly improves public access to environment services.,environment,Ministry of Labour and Employment,2006,Neutral,High Impact
The policy updates documentation rules related to public safety offices.,public safety,Ministry of Road Transport and Highways,2018,Neutral,Low Impact
Minor administrative changes were introduced in local public safety department procedures.,public safety,"Ministry of Environment, Forest and Climate Change",2014,Negative,Low Impact
Small procedural adjustments were made in the management of transport programs.,transport,Ministry of Agriculture and Farmers Welfare,2008,Neutral,Low Impact
A new national policy improves access to public safety services across multiple states.,public safety,Ministry of Labour and Employment,2021,Positive,High Impact
Local authorities revised guidelines for handling health records.,health,Ministry of Education,2020,Neutral,Low Impact
Small procedural adjustments were made in the management of transport programs.,transport,Ministry of Home Affairs,2015,Neutral,Low Impact
The policy updates documentation rules related to employment offices.,employment,Ministry of Education,2015,Neutral,Low Impact
The central government introduces a large-scale initiative to modernize social welfare.,social welfare,Ministry of Education,2022,Neutral,High Impact
Local authorities revised guidelines for handling urban development records.,urban development,"Ministry of Environment, Forest and Climate Change",2023,Negative,Low Impact
Minor administrative changes were introduced in local employment department procedures.,employment,Ministry of Agriculture and Farmers Welfare,2013,Negative,Low Impact
The central government introduces a large-scale initiative to modernize urban development.,urban development,Ministry of Labour and Employment,2016,Neutral,High Impact
A new national policy improves access to public safety services across multiple states.,public safety,Ministry of Labour and Employment,2018,Neutral,High Impact
Small procedural adjustments were made in the management of education programs.,education,Ministry of Education,2017,Neutral,Low Impact
Major legislation expands funding and infrastructure for urban development development.,urban development,Ministry of Labour and Employment,2009,Neutral,High Impact
A routine regulation modifies internal operations in the employment sector.,employment,Ministry of Labour and Employment,2021,Neutral,Low Impact
The central government introduces a large-scale initiative to modernize health.,health,Ministry of Electronics and IT,2018,Positive,High Impact
Local authorities revised guidelines for handling social welfare records.,social welfare,Ministry of Health and Family Welfare,2015,Negative,Low Impact
The government launches a nationwide agriculture reform program affecting millions of citizens.,agriculture,Ministry of Housing and Urban Affairs,2023,Neutral,High Impact
The policy updates documentation rules related to environment offices.,environment,Ministry of Social Justice and Empowerment,2019,Neutral,Low Impact
Minor administrative changes were introduced in local education department procedures.,education,"Ministry of Environment, Forest and Climate Change",2015,Neutral,Low Impact
A routine regulation modifies internal operations in the education sector.,education,Ministry of Housing and Urban Affairs,2016,Neutral,Low Impact
Major legislation expands funding and infrastructure for environment development.,environment,"Ministry of Environment, Forest and Climate Change",2010,Neutral,High Impact
A comprehensive reform significantly improves public access to education services.,education,Ministry of Labour and Employment,2020,Positive,High Impact
A routine regulation modifies internal operations in the employment sector.,employment,Ministry of Road Transport and Highways,2023,Neutral,Low Impact
A routine regulation modifies internal operations in the public safety sector.,public safety,Ministry of Health and Family Welfare,2012,Neutral,Low Impact
Major legislation expands funding and infrastructure for agriculture development.,agriculture,Ministry of Housing and Urban Affairs,2014,Positive,High Impact
A comprehensive reform significantly improves public access to social welfare services.,social welfare,Ministry of Road Transport and Highways,2015,Positive,High Impact
A routine regulation modifies internal operations in the transport sector.,transport,Ministry of Labour and Employment,2019,Negative,Low Impact
The central government introduces a large-scale initiative to modernize health.,health,Ministry of Electronics and IT,2016,Positive,High Impact
Small procedural adjustments were made in the management of environment programs.,environment,Ministry of Labour and Employment,2008,Negative,Low Impact
Local authorities revised guidelines for handling public safety records.,public safety,Ministry of Housing and Urban Affairs,2010,Negative,Low Impact
The policy updates documentation rules related to agriculture offices.,agriculture,Ministry of Road Transport and Highways,2016,Neutral,Low Impact
The government launches a nationwide digital governance reform program affecting millions of citizens.,digital governance,Ministry of Electronics and IT,2018,Neutral,High Impact
The central government introduces a large-scale initiative to modernize employment.,employment,Ministry of Education,2008,Neutral,High Impact
A comprehensive reform significantly improves public access to health services.,health,Ministry of Agriculture and Farmers Welfare,2009,Neutral,High Impact
The central government introduces a large-scale initiative to modernize agriculture.,agriculture,Ministry of Electronics and IT,2014,Positive,High Impact
A routine regulation modifies internal operations in the public safety sector.,public safety,"Ministry of Environment, Forest and Climate Change",2024,Neutral,Low Impact
The central government introduces a large-scale initiative to modernize public safety.,public safety,Ministry of Agriculture and Farmers Welfare,2019,Neutral,High Impact
Small procedural adjustments were made in the management of environment programs.,environment,Ministry of Road Transport and Highways,2024,Negative,Low Impact
A new national policy improves access to digital governance services across multiple states.,digital governance,Ministry of Road Transport and Highways,2010,Positive,High Impact
A routine regulation modifies internal operations in the employment sector.,employment,Ministry of Housing and Urban Affairs,2008,Negative,Low Impact
Major legislation expands funding and infrastructure for public safety development.,public safety,Ministry of Education,2008,Neutral,High Impact
A comprehensive reform significantly improves public access to digital governance services.,digital governance,Ministry of Agriculture and Farmers Welfare,2022,Positive,High Impact
Local authorities revised guidelines for handling agriculture records.,agriculture,Ministry of Labour and Employment,2020,Neutral,Low Impact
The government launches a nationwide urban development reform program affecting millions of citizens.,urban development,Ministry of Housing and Urban Affairs,2022,Positive,High Impact
Local authorities revised guidelines for handling employment records.,employment,Ministry of Road Transport and Highways,2010,Negative,Low Impact
Minor administrative changes were introduced in local education department procedures.,education,Ministry of Road Transport and Highways,2010,Negative,Low Impact
Small procedural adjustments were made in the management of employment programs.,employment,Ministry of Electronics and IT,2024,Negative,Low Impact
Small procedural adjustments were made in the management of urban development programs.,urban development,Ministry of Education,2006,Neutral,Low Impact
The central government introduces a large-scale initiative to modernize social welfare.,social welfare,Ministry of Electronics and IT,2016,Positive,High Impact
Major legislation expands funding and infrastructure for agriculture development.,agriculture,Ministry of Agriculture and Farmers Welfare,2008,Neutral,High Impact
Small procedural adjustments were made in the management of employment programs.,employment,"Ministry of Environment, Forest and Climate Change",2020,Neutral,Low Impact
The government launches a nationwide health reform program affecting millions of citizens.,health,Ministry of Agriculture and Farmers Welfare,2012,Neutral,High Impact
Major legislation expands funding and infrastructure for transport development.,transport,Ministry of Housing and Urban Affairs,2022,Positive,High Impact
Major legislation expands funding and infrastructure for social welfare development.,social welfare,Ministry of Health and Family Welfare,2016,Neutral,High Impact
The policy updates documentation rules related to urban development offices.,urban development,Ministry of Housing and Urban Affairs,2008,Negative,Low Impact
A comprehensive reform significantly improves public access to employment services.,employment,Ministry of Housing and Urban Affairs,2007,Positive,High Impact
A comprehensive reform significantly improves public access to employment services.,employment,Ministry of Electronics and IT,2021,Neutral,High Impact
The government launches a nationwide education reform program affecting millions of citizens.,education,Ministry of Education,2022,Neutral,High Impact
A comprehensive reform significantly improves public access to education services.,education,Ministry of Housing and Urban Affairs,2019,Neutral,High Impact
A comprehensive reform significantly improves public access to urban development services.,urban development,Ministry of Home Affairs,2010,Positive,High Impact
Local authorities revised guidelines for handling environment records.,environment,Ministry of Agriculture and Farmers Welfare,2013,Negative,Low Impact
The central government introduces a large-scale initiative to modernize agriculture.,agriculture,Ministry of Social Justice and Empowerment,2020,Neutral,High Impact
Minor administrative changes were introduced in local social welfare department procedures.,social welfare,Ministry of Home Affairs,2010,Negative,Low Impact
A comprehensive reform significantly improves public access to health services.,health,Ministry of Agriculture and Farmers Welfare,2009,Positive,High Impact
A routine regulation modifies internal operations in the agriculture sector.,agriculture,Ministry of Home Affairs,2018,Negative,Low Impact
A routine regulation modifies internal operations in the education sector.,education,Ministry of Education,2009,Negative,Low Impact
Local authorities revised guidelines for handling urban development records.,urban development,Ministry of Education,2021,Negative,Low Impact
Minor administrative changes were introduced in local health department procedures.,health,Ministry of Agriculture and Farmers Welfare,2012,Negative,Low Impact
The central government introduces a large-scale initiative to modernize health.,health,Ministry of Agriculture and Farmers Welfare,2017,Neutral,High Impact
A new national policy improves access to education services across multiple states.,education,Ministry of Home Affairs,2020,Positive,High Impact
Small procedural adjustments were made in the management of education programs.,education,"Ministry of Environment, Forest and Climate Change",2020,Negative,Low Impact
The policy updates documentation rules related to digital governance offices.,digital governance,Ministry of Electronics and IT,2005,Neutral,Low Impact
